x , y , z
0.000000000000e+00 , 4.735434284684e-01 , 2.223270336848e+00
1.000100010001e-03 , 5.769254713835e-01 , 2.134904565607e+00
2.000200020002e-03 , -3.605897480112e-02 , 1.727633995459e+00
3.000300030003e-03 , -1.673088161270e-01 , 2.251342057841e+00
4.000400040004e-03 , 5.498596232158e-01 , 2.054967638644e+00
5.000500050005e-03 , 6.476805676068e-01 , 1.832399803280e+00
6.000600060006e-03 , 6.641978513747e-01 , 2.229865268123e+00
7.000700070007e-03 , 5.432389431092e-01 , 2.082405176541e+00
8.000800080008e-03 , 9.364339595500e-01 , 2.270227436418e+00
9.000900090009e-03 , 4.859609186983e-01 , 2.024257003086e+00
1.000100010001e-02 , 3.358673038464e-02 , 2.220391718964e+00
1.100110011001e-02 , 2.920146096778e-01 , 2.016890162798e+00
1.200120012001e-02 , 8.971603015950e-01 , 1.984227856543e+00
1.300130013001e-02 , 8.331795078432e-01 , 1.985194186837e+00
1.400140014001e-02 , 4.845318218532e-01 , 1.969597611561e+00
1.500150015002e-02 , -4.139763410875e-01 , 1.946204686949e+00
1.600160016002e-02 , 6.457922712893e-01 , 1.890102531874e+00
1.700170017002e-02 , 3.256431630859e-01 , 1.903085043765e+00
1.800180018002e-02 , 3.684349788176e-01 , 2.099485124129e+00
1.900190019002e-02 , 1.071918538408e+00 , 2.076244928593e+00
2.000200020002e-02 , 3.229950677382e-01 , 2.346065419958e+00
2.100210021002e-02 , 5.938081123413e-01 , 1.829683528390e+00
2.200220022002e-02 , 4.508064439785e-01 , 2.072657168436e+00
2.300230023002e-02 , 4.593398847966e-01 , 1.929998992111e+00
2.400240024002e-02 , 5.234094341817e-01 , 2.026566895432e+00
2.500250025003e-02 , 5.699916177016e-01 , 1.730362534117e+00
2.600260026003e-02 , 4.188606181640e-01 , 1.774219123862e+00
2.700270027003e-02 , 6.007813896449e-01 , 1.993923429869e+00
2.800280028003e-02 , 8.006335662923e-01 , 1.803997649743e+00
2.900290029003e-02 , -3.745958791033e-01 , 1.848019822084e+00
3.000300030003e-02 , 3.242756080101e-01 , 1.603253024195e+00
3.100310031003e-02 , 1.247548749590e-01 , 1.790130336060e+00
3.200320032003e-02 , -6.162416107136e-02 , 2.226527555971e+00
3.300330033003e-02 , 5.917420592359e-01 , 1.928258366397e+00
3.400340034003e-02 , 1.547556610827e-01 , 1.746195237826e+00
3.500350035004e-02 , 4.333023385792e-01 , 2.082446330386e+00
3.600360036004e-02 , -3.291272442248e-01 , 2.090485473960e+00
3.700370037004e-02 , 9.659804806041e-01 , 2.128040960524e+00
3.800380038004e-02 , 7.849104964102e-01 , 1.931074456783e+00
3.900390039004e-02 , 2.167858233474e-01 , 2.380941144010e+00
4.000400040004e-02 , 6.099240802989e-01 , 2.139491689452e+00
4.100410041004e-02 , 2.348992497132e-01 , 1.948337832665e+00
4.200420042004e-02 , 5.268970446881e-01 , 2.010300261317e+00
4.300430043004e-02 , 1.231851015640e+00 , 1.883782008652e+00
4.400440044004e-02 , 1.041069109283e+00 , 1.868346710509e+00
4.500450045005e-02 , 8.909238005022e-01 , 1.984441041898e+00
4.600460046005e-02 , 2.717227292817e-01 , 1.906102556988e+00
4.700470047005e-02 , -7.850098123475e-02 , 2.030216153769e+00
4.800480048005e-02 , 7.373404453198e-01 , 2.031243009167e+00
4.900490049005e-02 , 4.956802846009e-01 , 2.006853726544e+00
5.000500050005e-02 , 7.827684583120e-01 , 2.053590454328e+00
5.100510051005e-02 , 8.684799619435e-01 , 2.109449429142e+00
5.200520052005e-02 , 3.336110551911e-01 , 1.879422559400e+00
5.300530053005e-02 , 1.957308898084e-01 , 1.848579736814e+00
5.400540054005e-02 , 1.054964585785e+00 , 1.626132728297e+00
5.500550055006e-02 , 3.778095172567e-01 , 2.022201463598e+00
5.600560056006e-02 , 8.304222284220e-01 , 2.038101548124e+00
5.700570057006e-02 , 4.163203314228e-01 , 1.933225366264e+00
5.800580058006e-02 , 7.557870291058e-01 , 1.784022710711e+00
5.900590059006e-02 , 5.217134773617e-01 , 2.075477837188e+00
6.000600060006e-02 , 4.930359095765e-01 , 1.867255315527e+00
6.100610061006e-02 , 6.829225762741e-01 , 2.039834647985e+00
6.200620062006e-02 , 8.007790887009e-01 , 1.676510120572e+00
6.300630063006e-02 , 5.661296524110e-01 , 2.025203512191e+00
6.400640064006e-02 , -5.487844613213e-02 , 2.249565348495e+00
