2000
(-334.4794899,-443.395955)
(-552.9752038,-868.6979962)
(-470.0750028,-691.0404967)
(-907.1172692,488.6526039)
(457.2902277,-797.7650853)
(-886.5795341,-487.8852908)
(-353.5156603,30.47723373)
(705.0463712,-332.319048)
(-418.5155176,-381.0390906)
(356.8824469,805.1566397)
(60.99304902,-757.6500987)
(-73.40888073,-334.4137099)
(-591.1401674,-176.8771048)
(-164.6939846,20.86337582)
(-499.2024772,722.8816466)
(-137.2919671,-440.3172124)
(725.7390683,849.2019188)
(-60.57102569,215.9189842)
(-746.8618034,800.8209232)
(-644.6913951,883.9030754)
(-179.5678844,-386.0291821)
(398.8689635,-265.0073205)
(-855.324259,237.7899354)
(333.3456588,-835.4556598)
(-939.44981,-488.0196298)
(574.9796464,-510.3946992)
(-605.9942181,-377.602324)
(978.4538392,79.46306183)
(393.3417344,673.2875272)
(-771.9998175,625.4883536)
(-478.2817528,36.22326864)
(-638.8753828,-184.9774159)
(-903.5797052,572.9442547)
(-739.9375042,148.5941202)
(-438.9898851,286.3675419)
(6.063839245,741.7054005)
(-987.3185788,289.5016804)
(97.08022791,-624.0558961)
(570.1845974,517.019569)
(641.0694688,747.2561386)
(-533.9488748,937.7502131)
(178.4582354,189.10401)
(687.9530709,249.7910105)
(-293.8869877,-476.5746847)
(-705.6092078,229.9555762)
(-626.9429702,993.6202379)
(647.5531766,901.3247731)
(-34.7421532,878.4372629)
(218.7318198,-357.667922)
(449.53323,-487.6536384)
(-109.2713052,-12.46077283)
(193.7293038,251.8213802)
(610.1880341,-298.1007648)
(-972.9986519,-533.5066164)
(-203.0060988,209.1406079)
(623.186376,181.7781512)
(-13.62662656,-532.6295121)
(-976.1740587,756.5594786)
(692.102974,-567.9780495)
(-889.2534427,-669.9756277)
(995.4841253,631.1329655)
(-481.8659297,112.2540838)
(-935.3729437,889.3945187)
(-307.9004311,-273.3952808)
(-96.02396461,366.8709509)
(-233.2744805,-275.6988224)
(912.9073371,837.4395519)
(439.1461643,51.19638384)
(247.4203962,213.6588068)
(-196.2912335,389.8143787)
(29.71277338,-282.5653344)
(-860.2681521,295.0691469)
(-919.9750056,14.81673463)
(-66.12443802,307.1904823)
(974.9505849,-409.8135787)
(259.773408,-942.1214271)
(-938.9800616,-780.9515396)
(989.5028252,-607.8648158)
(-656.5371822,795.814588)
(-569.9968363,468.3960418)
(-756.189262,694.9856049)
(716.203194,-88.18669031)
(166.5531546,-78.22474412)
(61.38211829,235.0165121)
(-702.0307507,255.9094827)
(621.0633383,221.6400066)
(-264.2916737,-900.5394926)
(803.4371054,185.4876841)
(-938.5020031,-152.7641672)
(-868.6943736,-789.4581915)
(-16.50991843,286.2841198)
(-683.7405069,349.9145854)
(847.2009687,691.8378067)
(622.4773622,-497.0315819)
(11.85840034,143.944337)
(-255.2299024,-429.9935037)
(133.150323,-234.1149288)
(462.2139257,-728.0666378)
(989.7381484,-304.8118599)
(348.5282091,550.2167995)
(130.4567736,-376.0098833)
(-23.21756041,-775.8422026)
(562.7540834,-104.1485685)
(-382.0351991,60.65682212)
(-900.8833529,682.5849197)
(844.6744556,60.68749002)
(-761.2424817,-18.97662426)
(-256.6186362,868.2427334)
(290.8104425,421.0437656)
(45.0751999,-785.8976221)
(-769.5065389,-84.764221)
(-154.6878305,-13.94266157)
(879.9140201,532.8524107)
(-12.79971254,-778.3748441)
(-740.0622499,443.676157)
(870.0767755,-829.9053911)
(-910.3104149,308.3496842)
(-44.69800712,-210.4136021)
(-91.61935098,-627.1291187)
(-383.0194557,703.7770946)
(252.8273224,-618.9826905)
(-246.0334991,690.4975913)
(-258.571879,607.2490692)
(-203.7591658,-990.8942)
(-153.5860114,-513.7668464)
(-466.5478341,-951.1108965)
(995.7689777,186.6357284)
(-508.8547435,423.293833)
(-535.3474133,301.7648682)
(-307.152641,-614.1136725)
(-425.8196715,-436.222068)
(-121.3930615,-786.5264108)
(-88.20888442,213.0229348)
(-891.5667334,504.5745375)
(-844.3099906,654.7644104)
(180.9142325,901.1807795)
(309.395139,-526.8338969)
(417.1044506,-984.2006096)
(-504.6660185,-120.534222)
(-58.48997319,-42.95190264)
(-756.2361628,-687.1468052)
(749.4020143,27.78100342)
(-878.9751924,227.7537879)
(305.5841311,771.5201421)
(-42.88305142,-481.8971645)
(-10.16301689,606.8700869)
(86.7767024,776.2233813)
(322.570374,-27.21226811)
(-659.9406518,-797.1349393)
(-44.91407988,-243.4644462)
(-561.0534107,537.9017383)
(-454.1584658,527.66277)
(-932.2441143,-155.0201317)
(294.4631866,537.2810449)
(-101.1676434,66.08307854)
(868.5044068,-883.045588)
(-694.5813095,-320.9158041)
(-577.4517679,-806.6575205)
(273.3640545,-202.8446217)
(523.4948361,-172.4622353)
(-610.0566082,131.7776941)
(561.8393472,737.4596665)
(-552.3428805,345.4346338)
(819.2543372,-858.1678599)
(336.9187614,596.620918)
(-338.4545468,586.3741195)
(-431.7019811,-793.1259446)
(-317.8468671,979.8379901)
(-33.98844781,-756.5660849)
(148.8686112,684.8788664)
(485.6523544,408.0870924)
(-823.7568391,140.8761417)
(-960.4715866,-487.1431956)
(-878.3395848,-1.145400801)
(-956.2500589,239.2404317)
(-810.7154224,-323.5571609)
(96.91341863,210.2387966)
(395.5877474,213.5131894)
(-311.5756829,-828.4564421)
(-619.6390413,-17.76001916)
(962.5293428,-864.5240136)
(-507.0820359,581.7627407)
(-359.7679273,883.5481345)
(614.9530255,-196.0934851)
(-927.1689533,-366.0229365)
(-899.3010495,-71.71580064)
(216.8905405,-700.5104246)
(-636.2708229,-677.1822487)
(384.2884407,-980.1255489)
(-568.7225112,609.0305038)
(-967.140377,-373.3608758)
(247.1727409,829.3271295)
(-625.646813,734.6601855)
(872.7288315,491.64016)
(563.9062815,88.96134258)
(-867.6887568,488.6104655)
(693.0012931,308.9061966)
(-477.8791764,867.064792)
(-706.6219341,691.4211785)
(-557.1997407,-9.572956706)
(-841.5445385,-567.6773765)
(-221.5632439,-210.228243)
(795.3716709,-461.939427)
(-367.352807,213.8635865)
(-374.8733781,585.887616)
(532.782363,-631.2086344)
(-270.3867105,374.5766545)
(-698.5018947,-772.3829784)
